TeamNumber,PlayerID,Name,Email,Game,Role,SkillLevel,PersonalityScore,PersonalityType
30,P005,Participant_5,user5@university.edu,CS:GO,Coordinator,9,82,Balanced
30,P090,Participant_90,user90@university.edu,Chess,Coordinator,5,62,Thinker
31,P039,Participant_39,user39@university.edu,FIFA,Supporter,5,66,Thinker
31,P019,Participant_19,user19@university.edu,FIFA,Supporter,9,95,Leader
31,P002,Participant_2,user2@university.edu,FIFA,Attacker,5,80,Balanced
32,P078,Participant_78,user78@university.edu,FIFA,Defender,6,51,Thinker
32,P082,Participant_82,user82@university.edu,Valorant,Attacker,10,97,Leader
32,P098,Participant_98,user98@university.edu,CS:GO,Defender,5,83,Balanced
33,P024,Participant_24,user24@university.edu,DOTA 2,Supporter,7,63,Thinker
33,P067,Participant_67,user67@university.edu,Basketball,Attacker,1,92,Leader
34,P015,Participant_15,user15@university.edu,DOTA 2,Coordinator,8,66,Thinker
34,P035,Participant_35,user35@university.edu,Basketball,Coordinator,8,78,Balanced
